2024-12-14 11:12: Experiment log path in: ./
2024-12-14 11:18: Train Epoch 13: 20/164 Loss: 26.612864
2024-12-14 11:18: Train Epoch 13: 40/164 Loss: 22.494547
2024-12-14 11:18: Train Epoch 13: 60/164 Loss: 21.324053
2024-12-14 11:18: Train Epoch 13: 80/164 Loss: 21.312504
2024-12-14 11:18: Train Epoch 13: 100/164 Loss: 22.823484
2024-12-14 11:18: Train Epoch 13: 120/164 Loss: 20.158558
2024-12-14 11:18: Train Epoch 13: 140/164 Loss: 22.634069
2024-12-14 11:18: Train Epoch 13: 160/164 Loss: 23.317379
2024-12-14 11:18: **********Train Epoch 13: averaged Loss: 23.279262
2024-12-14 11:18: **********Val Epoch 13: average Loss: 23.994005
2024-12-14 11:18: Train Epoch 14: 0/164 Loss: 22.129976
2024-12-14 11:18: Train Epoch 14: 20/164 Loss: 22.381493
2024-12-14 11:18: Train Epoch 14: 40/164 Loss: 25.366335
2024-12-14 11:18: Train Epoch 14: 60/164 Loss: 26.231577
2024-12-14 11:18: Train Epoch 14: 80/164 Loss: 20.478395
2024-12-14 11:18: Train Epoch 14: 100/164 Loss: 29.289635
2024-12-14 11:18: Train Epoch 14: 120/164 Loss: 20.096867
2024-12-14 11:18: Train Epoch 14: 140/164 Loss: 20.796230
2024-12-14 11:18: Train Epoch 14: 160/164 Loss: 28.293612
2024-12-14 11:18: **********Train Epoch 14: averaged Loss: 22.981791
2024-12-14 11:18: **********Val Epoch 14: average Loss: 22.980730
2024-12-14 11:18: Train Epoch 15: 0/164 Loss: 23.716728
2024-12-14 11:18: Train Epoch 15: 20/164 Loss: 20.817137
2024-12-14 11:19: Train Epoch 15: 40/164 Loss: 21.775665
2024-12-14 11:19: Train Epoch 15: 60/164 Loss: 22.646011
2024-12-14 11:19: Train Epoch 15: 80/164 Loss: 23.363956
2024-12-14 11:19: Train Epoch 15: 100/164 Loss: 21.601177
2024-12-14 11:19: Train Epoch 15: 120/164 Loss: 20.022890
2024-12-14 11:19: Train Epoch 15: 140/164 Loss: 18.087334
2024-12-14 11:19: Train Epoch 15: 160/164 Loss: 19.322971
2024-12-14 11:19: **********Train Epoch 15: averaged Loss: 22.701105
2024-12-14 11:19: **********Val Epoch 15: average Loss: 22.656277
2024-12-14 11:19: Train Epoch 16: 0/164 Loss: 24.514456
2024-12-14 11:19: Train Epoch 16: 20/164 Loss: 21.218187
2024-12-14 11:19: Train Epoch 16: 40/164 Loss: 23.013226
2024-12-14 11:19: Train Epoch 16: 60/164 Loss: 23.318733
2024-12-14 11:19: Train Epoch 16: 80/164 Loss: 21.822462
2024-12-14 11:19: Train Epoch 16: 100/164 Loss: 23.645523
2024-12-14 11:19: Train Epoch 16: 120/164 Loss: 24.692728
2024-12-14 11:19: Train Epoch 16: 140/164 Loss: 22.532660
2024-12-14 11:19: Train Epoch 16: 160/164 Loss: 20.427219
2024-12-14 11:19: **********Train Epoch 16: averaged Loss: 22.309659
2024-12-14 11:19: **********Val Epoch 16: average Loss: 22.520568
2024-12-14 11:19: Train Epoch 17: 0/164 Loss: 21.827572
2024-12-14 11:19: Train Epoch 17: 20/164 Loss: 22.414854
2024-12-14 11:19: Train Epoch 17: 40/164 Loss: 20.713863
2024-12-14 11:19: Train Epoch 17: 60/164 Loss: 19.243881
2024-12-14 11:20: Train Epoch 17: 80/164 Loss: 19.841038
2024-12-14 11:20: Train Epoch 17: 100/164 Loss: 20.287649
2024-12-14 11:20: Train Epoch 17: 120/164 Loss: 20.434004
2024-12-14 11:20: Train Epoch 17: 140/164 Loss: 24.758656
2024-12-14 11:20: Train Epoch 17: 160/164 Loss: 27.114267
2024-12-14 11:20: **********Train Epoch 17: averaged Loss: 22.054568
2024-12-14 11:20: **********Val Epoch 17: average Loss: 23.278055
2024-12-14 11:20: Train Epoch 18: 0/164 Loss: 22.393177
2024-12-14 11:20: Train Epoch 18: 20/164 Loss: 16.782284
2024-12-14 11:20: Train Epoch 18: 40/164 Loss: 21.947420
2024-12-14 11:20: Train Epoch 18: 60/164 Loss: 21.260572
2024-12-14 11:20: Train Epoch 18: 80/164 Loss: 18.217810
2024-12-14 11:20: Train Epoch 18: 100/164 Loss: 19.139429
2024-12-14 11:20: Train Epoch 18: 120/164 Loss: 22.426434
2024-12-14 11:20: Train Epoch 18: 140/164 Loss: 21.216797
2024-12-14 11:20: Train Epoch 18: 160/164 Loss: 20.229591
2024-12-14 11:20: **********Train Epoch 18: averaged Loss: 21.753918
2024-12-14 11:20: **********Val Epoch 18: average Loss: 21.494431
2024-12-14 11:20: Train Epoch 19: 0/164 Loss: 19.496744
2024-12-14 11:20: Train Epoch 19: 20/164 Loss: 19.718779
2024-12-14 11:20: Train Epoch 19: 40/164 Loss: 23.333145
2024-12-14 11:20: Train Epoch 19: 60/164 Loss: 19.754883
2024-12-14 11:20: Train Epoch 19: 80/164 Loss: 18.714279
2024-12-14 11:20: Train Epoch 19: 100/164 Loss: 21.633297
2024-12-14 11:21: Train Epoch 19: 120/164 Loss: 22.933929
2024-12-14 11:21: Train Epoch 19: 140/164 Loss: 21.018400
2024-12-14 11:21: Train Epoch 19: 160/164 Loss: 21.097044
2024-12-14 11:21: **********Train Epoch 19: averaged Loss: 21.302793
2024-12-14 11:21: **********Val Epoch 19: average Loss: 21.880836
2024-12-14 11:21: Train Epoch 20: 0/164 Loss: 24.193611
2024-12-14 11:21: Train Epoch 20: 20/164 Loss: 21.864729
2024-12-14 11:21: Train Epoch 20: 40/164 Loss: 21.059803
2024-12-14 11:21: Train Epoch 20: 60/164 Loss: 19.587639
2024-12-14 11:21: Train Epoch 20: 80/164 Loss: 19.870195
2024-12-14 11:21: Train Epoch 20: 100/164 Loss: 18.913397
2024-12-14 11:21: Train Epoch 20: 120/164 Loss: 25.363047
2024-12-14 11:21: Train Epoch 20: 140/164 Loss: 21.699099
2024-12-14 11:21: Train Epoch 20: 160/164 Loss: 20.622950
2024-12-14 11:21: **********Train Epoch 20: averaged Loss: 20.895196
2024-12-14 11:21: **********Val Epoch 20: average Loss: 21.473354
2024-12-14 11:21: Train Epoch 21: 0/164 Loss: 26.732542
2024-12-14 11:21: Train Epoch 21: 20/164 Loss: 24.928307
2024-12-14 11:21: Train Epoch 21: 40/164 Loss: 22.022362
2024-12-14 11:21: Train Epoch 21: 60/164 Loss: 24.569311
2024-12-14 11:21: Train Epoch 21: 80/164 Loss: 19.259325
2024-12-14 11:21: Train Epoch 21: 100/164 Loss: 20.358046
2024-12-14 11:21: Train Epoch 21: 120/164 Loss: 17.865559
2024-12-14 11:21: Train Epoch 21: 140/164 Loss: 21.174484
2024-12-14 11:22: Train Epoch 21: 160/164 Loss: 16.997335
2024-12-14 11:22: **********Train Epoch 21: averaged Loss: 20.697132
2024-12-14 11:22: **********Val Epoch 21: average Loss: 21.244784
2024-12-14 11:22: Train Epoch 22: 0/164 Loss: 25.560471
2024-12-14 11:22: Train Epoch 22: 20/164 Loss: 16.159044
2024-12-14 11:22: Train Epoch 22: 40/164 Loss: 22.172838
2024-12-14 11:22: Train Epoch 22: 60/164 Loss: 18.480722
2024-12-14 11:22: Train Epoch 22: 80/164 Loss: 20.623751
2024-12-14 11:22: Train Epoch 22: 100/164 Loss: 19.241877
2024-12-14 11:22: Train Epoch 22: 120/164 Loss: 17.378502
2024-12-14 11:22: Train Epoch 22: 140/164 Loss: 19.358187
2024-12-14 11:22: Train Epoch 22: 160/164 Loss: 20.905767
2024-12-14 11:22: **********Train Epoch 22: averaged Loss: 20.321386
2024-12-14 11:22: **********Val Epoch 22: average Loss: 20.605568
2024-12-14 11:22: Train Epoch 23: 0/164 Loss: 18.205585
2024-12-14 11:22: Train Epoch 23: 20/164 Loss: 17.012468
2024-12-14 11:22: Train Epoch 23: 40/164 Loss: 21.825575
2024-12-14 11:22: Train Epoch 23: 60/164 Loss: 20.496744
2024-12-14 11:22: Train Epoch 23: 80/164 Loss: 20.661858
2024-12-14 11:22: Train Epoch 23: 100/164 Loss: 21.281748
2024-12-14 11:22: Train Epoch 23: 120/164 Loss: 19.696951
2024-12-14 11:22: Train Epoch 23: 140/164 Loss: 21.230312
2024-12-14 11:22: Train Epoch 23: 160/164 Loss: 20.368353
